address,attributes,business_id,categories,city,hours,is_open,name,neighborhood,postal_code,review_count,stars,state,BusinessAcceptsCreditCards,BikeParking,RestaurantsDelivery,RestaurantsTakeOut,OutdoorSeating,parking_garge,parking_street,parking_validated,parking_lot,parking_valet
1671 Butler Plank Rd,"['BikeParking: False', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",3rMAVqvhL8xxaWbquAzYLQ,"['Photography Stores & Services', 'Videos & Video Game Rental', 'Drugstores', 'Food', 'Florists', 'Flowers & Gifts', 'Grocery', 'Shopping', 'Books', 'Mags', 'Music & Video', 'Bakeries']",Glenshaw,"['Monday 6:0-6:0', 'Tuesday 6:0-6:0', 'Wednesday 6:0-6:0', 'Thursday 6:0-6:0', 'Friday 6:0-6:0', 'Saturday 6:0-6:0', 'Sunday 6:0-6:0']",1,Giant Eagle,,15116.0,6,3.5,PA,1,0,0,1,0,0,0,0,1,0
2955 Leechburg Rd,"[""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: True', 'RestaurantsPriceRange2: 3']",a5WXT59CESSn5KI04AyKTQ,"['Food', 'Bakeries']",Lower Burrell,"['Monday 9:0-17:0', 'Tuesday 9:0-17:0', 'Wednesday 9:0-17:0', 'Thursday 9:0-17:0', 'Friday 9:0-17:0']",1,Fenoglietto's Wedding Cakes,,15068.0,3,4.0,PA,0,0,1,0,0,0,0,0,0,0
207 21st St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",6tdkFaMnTfDCiPG97qKVHA,"['Bakeries', 'Food']",Pittsburgh,"['Monday 7:0-16:0', 'Tuesday 7:0-16:0', 'Wednesday 7:0-16:0', 'Thursday 7:0-16:0', 'Friday 7:0-16:0', 'Saturday 7:0-16:0', 'Sunday 7:0-14:0']",1,Colangelo's Bakery,Strip District,15222.0,36,5.0,PA,1,1,0,1,0,0,1,0,0,0
28 Old Clairton Rd,"['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2: 1', 'WheelchairAccessible: True']",zrVScOF63r1LuZNbKr5qBg,"['Bakeries', 'Food']",Pittsburgh,,0,Kribel's Bakery,,15236.0,3,4.0,PA,1,0,0,0,0,0,0,0,0,0
4605 Butler St,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'ByAppointmentOnly: False', 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': True, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: False', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",oS96aJIHFWcFAlGHKKXjaw,"['Food', 'Bakeries', 'French', 'Restaurants']",Pittsburgh,"['Monday 7:30-16:30', 'Tuesday 7:30-16:30', 'Wednesday 7:30-16:30', 'Thursday 7:30-16:30', 'Friday 7:30-16:30', 'Saturday 9:0-14:30', 'Sunday 9:0-14:30']",1,La Gourmandine Bakery & Pastry Shop,Lawrenceville,15201.0,303,4.5,PA,1,1,0,1,1,0,1,0,0,0
213 Commercial Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True']",7m0smV1-RvM1GnWhCTjy7Q,"['Desserts', 'Cupcakes', 'Food', 'Bakeries']",Aspinwall,"['Monday 9:0-14:0', 'Tuesday 9:0-18:0', 'Wednesday 9:0-18:0', 'Thursday 9:0-18:0', 'Friday 9:0-18:0', 'Saturday 8:0-16:0']",1,Bella Christie and Lil' Z's Sweet Boutique,Aspinwall,15215.0,26,4.0,PA,1,1,0,1,0,0,1,0,0,0
"1 Forsythe Rd, Ste 3","['BusinessAcceptsCreditCards: True', 'RestaurantsDelivery: True']",AaayVF6TxHup_ZrNEyA-_Q,"['Food', 'Desserts', 'Shopping', 'Bakeries', 'Flowers & Gifts']",Presto,"['Monday 8:0-16:0', 'Tuesday 8:0-16:0', 'Wednesday 8:0-16:0', 'Thursday 8:0-16:0', 'Friday 8:0-16:0', 'Saturday 10:0-13:0']",1,Cookies by Design,,15142.0,4,5.0,PA,1,0,1,0,0,0,0,0,0,0
5243 Library Rd,"['Alcohol: none', ""Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters: True', 'GoodForKids: True', ""GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False}"", 'HasTV: False', 'NoiseLevel: average', 'OutdoorSeating: True', 'RestaurantsAttire: casual', 'RestaurantsDelivery: False', 'RestaurantsGoodForGroups: True', 'RestaurantsPriceRange2: 1', 'RestaurantsReservations: False', 'RestaurantsTableService: False', 'RestaurantsTakeOut: True', 'WheelchairAccessible: True', 'WiFi: free']",p9y8sbVHi-0vrsFoMU0jJg,"['Restaurants', 'Breakfast & Brunch', 'Soup', 'Bakeries', 'Sandwiches', 'Salad', 'Bagels', 'Food']",Bethel Park,"['Monday 6:30-21:0', 'Tuesday 6:30-21:0', 'Wednesday 6:30-21:0', 'Thursday 6:30-21:0', 'Friday 6:30-21:0', 'Saturday 6:30-21:0', 'Sunday 7:0-20:0']",1,Panera Bread,,15102.0,17,2.5,PA,1,1,0,1,1,0,0,0,1,0
517 Greenfield Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'OutdoorSeating: True', 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1', 'RestaurantsTakeOut: True', 'WiFi: free']",hWzbOi1-eS8PmPyZRV8Lew,"['Coffee & Tea', 'Home & Garden', 'Shopping', 'Bakeries', 'Arts & Crafts', 'Food', 'Home Decor']",Pittsburgh,"['Monday 6:0-19:0', 'Tuesday 6:0-19:0', 'Wednesday 6:0-19:0', 'Thursday 6:0-19:0', 'Friday 6:0-19:0', 'Saturday 7:0-19:0', 'Sunday 7:0-16:0']",1,Staghorn Garden Cafe,Greenfield,15207.0,24,4.5,PA,1,1,0,1,1,0,1,0,0,0
430 Market St,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2', 'RestaurantsTakeOut: True']",2x9yQ6UEiZifHTbzY1ei9Q,"['Desserts', 'Bakeries', 'Food']",Pittsburgh,"['Monday 7:0-18:0', 'Tuesday 7:0-18:0', 'Wednesday 7:0-18:0', 'Thursday 7:0-18:0', 'Friday 7:0-18:0', 'Saturday 9:0-16:0', 'Sunday 10:0-15:0']",1,Prantl's Bakery,Downtown,15222.0,39,3.5,PA,1,1,0,1,0,0,1,0,0,0
"535 Smithfield St, Oliver Bldg","['BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 1']",oi4dg_m1NBpXRDQN3qkN9Q,"['Food', 'Bakeries']",Pittsburgh,,1,Au Bon Pain Co,Downtown,15222.0,7,3.0,PA,1,0,0,0,0,0,0,0,0,0
1701 Duncan Ave,"['BikeParking: True', 'BusinessAcceptsCreditCards: True', ""BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery: False', 'RestaurantsPriceRange2: 2']",CxxAzUN3J38UTZB6MyGB3Q,"['Donuts', 'Food', 'Bakeries']",Allison Park,,0,Dudt P J Bakery,,15101.0,11,3.0,PA,1,1,0,0,0,0,0,0,0,0
